code,name,market,sector33,sector17,size
9219,ギックス,growth,サービス業,情報通信・サービスその他,none
9220,エフビー介護サービス,standard,サービス業,情報通信・サービスその他,none
9221,フルハシＥＰＯ,standard,サービス業,情報通信・サービスその他,none
9223,ＡＳＮＯＶＡ,growth,サービス業,情報通信・サービスその他,none
9225,ブリッジコンサルティンググループ,growth,サービス業,情報通信・サービスその他,none
9227,マイクロ波化学,growth,サービス業,情報通信・サービスその他,none
9229,サンウェルズ,prime,サービス業,情報通信・サービスその他,small2
9233,アジア航測,standard,空運業,運輸・物流,none
9235,売れるネット広告社グループ,growth,サービス業,情報通信・サービスその他,none
9236,ジャパンＭ＆Ａソリューション,growth,サービス業,情報通信・サービスその他,none
9237,笑美面,growth,サービス業,情報通信・サービスその他,none
9238,バリュークリエーション,growth,サービス業,情報通信・サービスその他,none
9240,デリバリーコンサルティング,growth,サービス業,情報通信・サービスその他,none
9241,フューチャーリンクネットワーク,growth,サービス業,情報通信・サービスその他,none
9242,メディア総研,growth,サービス業,情報通信・サービスその他,none
9244,デジタリフト,growth,サービス業,情報通信・サービスその他,none
9245,リベロ,growth,サービス業,情報通信・サービスその他,none
9246,プロジェクトホールディングス,growth,サービス業,情報通信・サービスその他,none
9247,ＴＲＥホールディングス,prime,サービス業,情報通信・サービスその他,small1
9248,人・夢・技術グループ,standard,サービス業,情報通信・サービスその他,small2
9249,日本エコシステム,standard,サービス業,情報通信・サービスその他,none
9250,ＧＲＣＳ,growth,サービス業,情報通信・サービスその他,none
9251,ＡＢ＆Ｃｏｍｐａｎｙ,growth,サービス業,情報通信・サービスその他,none
9252,ラストワンマイル,growth,サービス業,情報通信・サービスその他,none
9253,スローガン,growth,サービス業,情報通信・サービスその他,none
9254,ラバブルマーケティンググループ,growth,サービス業,情報通信・サービスその他,none
9256,サクシード,growth,サービス業,情報通信・サービスその他,none
9258,ＣＳ－Ｃ,growth,サービス業,情報通信・サービスその他,none
9259,タカヨシホールディングス,growth,サービス業,情報通信・サービスその他,none
9262,シルバーライフ,standard,小売業,小売,small2
9264,ポエック,standard,卸売業,商社・卸売,none
9265,ヤマシタヘルスケアホールディングス,standard,卸売業,商社・卸売,none
9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,prime,小売業,小売,small1
9268,オプティマスグループ,standard,卸売業,商社・卸売,none
9270,バリュエンスホールディングス,growth,卸売業,商社・卸売,none
9271,和心,growth,小売業,小売,none
9272,ブティックス,growth,サービス業,情報通信・サービスその他,none
9273,コーア商事ホールディングス,prime,卸売業,商社・卸売,small2
9274,ＫＰＰグループホールディングス,prime,卸売業,商社・卸売,small1
9278,ブックオフグループホールディングス,prime,小売業,小売,small2
9279,ギフトホールディングス,prime,小売業,小売,small2
9301,三菱倉庫,prime,倉庫・運輸関連業,運輸・物流,mid400
9302,三井倉庫ホールディングス,prime,倉庫・運輸関連業,運輸・物流,mid400
9303,住友倉庫,prime,倉庫・運輸関連業,運輸・物流,small1
9304,澁澤倉庫,prime,倉庫・運輸関連業,運輸・物流,small2
9305,ヤマタネ,prime,卸売業,商社・卸売,small2
9306,東陽倉庫,standard,倉庫・運輸関連業,運輸・物流,none
9307,杉村倉庫,standard,倉庫・運輸関連業,運輸・物流,none
9308,乾汽船,standard,海運業,運輸・物流,small2
9310,日本トランスシティ,prime,倉庫・運輸関連業,運輸・物流,small2
9311,アサガミ,standard,倉庫・運輸関連業,運輸・物流,none
9312,ケイヒン,standard,倉庫・運輸関連業,運輸・物流,none
9313,丸八倉庫,standard,倉庫・運輸関連業,運輸・物流,none
