delist_date,name,code,market_name,reason,category
2024-04-26,中央ビルト工業,1971,スタンダード,株式の併合,acquisition
2024-05-02,アオキスーパー,9977,スタンダード,株式の併合,acquisition
2024-05-17,ベネッセホールディングス,9783,プライム,株式の併合,acquisition
2024-05-20,ベネフィット・ワン,2412,プライム,株式の併合,acquisition
2024-05-27,グッピーズ,5127,グロース,株式の併合,acquisition
2024-05-30,グローセル,9995,プライム,株式の併合,acquisition
2024-05-30,サムティ,3244,プライム,サムティホールディングスの完全子会社化,acquisition
2024-06-06,焼津水産化学工業,2812,スタンダード,株式の併合,acquisition
2024-06-06,アウトソーシング,2427,プライム,株式の併合,acquisition
2024-06-10,ペイロール,4489,グロース,株式の併合,acquisition
2024-06-11,ウェルビー,6556,プライム,株式の併合,acquisition
2024-06-25,ＪＳＲ,4185,プライム,株式の併合,acquisition
2024-06-27,構造計画研究所,4748,スタンダード,構造計画研究所ホールディングスの完全子会社化,acquisition
2024-06-27,サマンサタバサジャパンリミテッド,7829,グロース,コナカの完全子会社化,acquisition
2024-07-09,スノーピーク,7816,プライム,株式の併合,acquisition
2024-07-16,グラフィコ,4930,スタンダード,株式等売渡請求による取得,acquisition
2024-07-17,双信電機,6938,スタンダード,株式等売渡請求による取得,acquisition
2024-07-24,ローソン,2651,プライム,株式の併合,acquisition
2024-07-29,関西フードマーケット,9919,スタンダード,エイチ・ツー・オー　リテイリングの完全子会社化,acquisition
2024-08-23,グッドスピード,7676,グロース,株式等売渡請求による取得,acquisition
2024-08-29,岩崎通信機,6704,スタンダード,あい　ホールディングスの完全子会社化,acquisition
2024-09-02,日本ハウズイング,4781,スタンダード,株式の併合,acquisition
2024-09-03,ローランド ディー.ジー.,6789,プライム,株式の併合,acquisition
2024-09-06,ＳＢテクノロジー,4726,プライム,株式の併合,acquisition
2024-09-11,ジャステック,9717,プライム,株式の併合,acquisition
2024-09-17,エスライングループ本社,9078,スタンダード,株式の併合,acquisition
2024-09-18,日本ＫＦＣホールディングス,9873,スタンダード,株式の併合,acquisition
2024-09-27,フュートレック,2468,スタンダード,エーアイに合併,acquisition
2024-09-27,永谷園ホールディングス,2899,プライム,株式の併合,acquisition
2024-09-27,図研エルミック,4770,スタンダード,株式の併合,acquisition
2024-09-27,きずなホールディングス,7086,グロース,株式等売渡請求による取得,acquisition
2024-09-27,飛島建設,1805,プライム,飛島ホールディングスの完全子会社化,acquisition
2024-09-27,テクノクオーツ,5217,スタンダード,ジーエルテクノホールディングスの完全子会社化,acquisition
2024-09-27,ジーエルサイエンス,7705,スタンダード,ジーエルテクノホールディングスの完全子会社化,acquisition
2024-09-27,フューチャーベンチャーキャピタル,8462,スタンダード,AIフュージョンキャピタルグループの完全子会社化,acquisition
2024-09-27,ＥＴＳホールディングス,1789,スタンダード,ＥＴＳグループの完全子会社化,acquisition
2024-10-09,Ｃ＆Ｆロジホールディングス,9099,プライム,株式の併合,acquisition
2024-10-15,ジャパンフーズ,2599,スタンダード,株式の併合,acquisition
2024-10-16,インフォコム,4348,プライム,株式の併合,acquisition
2024-10-16,ＮＣホールディングス,6236,スタンダード,株式の併合,acquisition
2024-10-18,音通,7647,スタンダード,株式の併合,acquisition
2024-10-29,タキロンシーアイ,4215,プライム,株式等売渡請求による取得,acquisition
2024-10-30,メディアシーク,4824,グロース,Ｓｏｌｖｖｙの完全子会社化,acquisition
2024-10-30,ＡＰＡＭＡＮ,8889,スタンダード,株式等売渡請求による取得,acquisition
2024-11-05,理研コランダム,5395,スタンダード,株式等売渡請求による取得,acquisition
2024-11-07,タツタ電線,5809,プライム,株式の併合,acquisition
2024-11-12,三益半導体工業,8155,プライム,株式の併合,acquisition
2024-11-19,ＫＨＣ,1451,スタンダード,株式等売渡請求による取得,acquisition
2024-11-19,ヴィスコ・テクノロジーズ,6698,スタンダード,株式等売渡請求による取得,acquisition
